Scan Results,09/26/2017 at 11:58:26 (GMT+0300),,,,,,,,,,,,,,,,,,,,,,,
Nayax LTD,Roul Walenberg 18 st,,Tel-Aviv,None,Israel,11111,,,,,,,,,,,,,,,,,,
Gal Bayer,nayax-gb,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Launch Date,Active Hosts,Total Hosts,Type,Status,Reference,Scanner Appliance,Duration,Scan Title,Asset Groups,IPs,Excluded IPs,Option Profile,,,,,,,,,,,,
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",105185,Microsoft Windows Effective Permission on Shares Enumerated,Ig,2,,,,,,,,"Detected effective security permissions for shares on the target host are enumerated, the complete set of effective permissions might differ.",N/A,N/A,,,"share	SHARE TYPE	ACE TYPE	NAME	PRIMARY GROUP	ACE1	ACE2	ACE3	ADDITIONAL INFO
ADMIN$	Hidden Directory	Access Allowed for Group	NT SERVICE\TrustedInstaller	NT SERVICE\TrustedInstaller	generic-all	standard-read	standard-write-owner	-
ADMIN$	Hidden Directory	Access Allowed for Group	NT SERVICE\TrustedInstaller	NT SERVICE\TrustedInstaller	standard-write-dac	standard-delete	-	-
ADMIN$	Hidden Directory	Access Allowed for Group	Local System	NT SERVICE\TrustedInstaller	generic-all	standard-read	standard-delete	-
ADMIN$	Hidden Directory	Access Allowed for Group	Administrators	NT SERVICE\TrustedInstaller	generic-all	standard-read	standard-delete	-
ADMIN$	Hidden Directory	Access Allowed for Group	Users	NT SERVICE\TrustedInstaller	generic-read	generic-execute	standard-read	-
ADMIN$	Hidden Directory	Access Allowed for Group	Creator Owner	NT SERVICE\TrustedInstaller	generic-all	-	-	-
C$	Hidden Directory	Access Allowed for Group	Administrators	NT SERVICE\TrustedInstaller	generic-all	standard-read	standard-write-owner	-
C$	Hidden Directory	Access Allowed for Group	Administrators	NT SERVICE\TrustedInstaller	standard-write-dac	standard-delete	-	-
C$	Hidden Directory	Access Allowed for Group	Local System	NT SERVICE\TrustedInstaller	generic-all	standard-read	standard-write-owner	-
C$	Hidden Directory	Access Allowed for Group	Local System	NT SERVICE\TrustedInstaller	standard-write-dac	standard-delete	-	-
C$	Hidden Directory	Access Allowed for Group	Users	NT SERVICE\TrustedInstaller	standard-read	-	-	-
C$	Hidden Directory	Access Allowed for Group	Authenticated Users	NT SERVICE\TrustedInstaller	generic-read	generic-write	generic-execute	-
C$	Hidden Directory	Access Allowed for Group	Authenticated Users	NT SERVICE\TrustedInstaller	standard-delete	-	-	-
IPC$	Hidden_IPC	No_Explicit_DACLS	-	-	-	-	-	Results_may_be_incomplete",no,,Security Policy
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",105187,Microsoft Windows Hardening - Service Configuration,Ig,2,,,,,,,,"The service configuration for each win32 service, including the service startup type and service account name, is enumerated.
 
Turning off non-essential services is an important step in hardening a Windows system.",N/A,N/A,,,"Name	Starttype	AccountName
Adobe Acrobat Update Service	Automatic	LocalSystem
Application Experience	Manual	localSystem
Application Layer Gateway Service	Manual	NT AUTHORITY\LocalService
Alps HID Monitor Service	Automatic	LocalSystem
Application Identity	Manual	NT Authority\LocalService
Application Information	Manual	LocalSystem
Application Management	Manual	LocalSystem
ASP.NET State Service	Disabled	NT AUTHORITY\NetworkService
Windows Audio Endpoint Builder	Automatic	LocalSystem
Windows Audio	Automatic	NT AUTHORITY\LocalService
ActiveX Installer (AxInstSV)	Manual	LocalSystem
BitLocker Drive Encryption Service	Manual	localSystem
Base Filtering Engine	Automatic	NT AUTHORITY\LocalService
Background Intelligent Transfer Service	Automatic	LocalSystem
Computer Browser	Manual	LocalSystem
Bluetooth Support Service	Manual	NT AUTHORITY\LocalService
Certificate Propagation	Automatic	LocalSystem
Chrome Remote Desktop Service	Automatic	LocalSystem
Microsoft Office Click-to-Run Service	Automatic	LocalSystem
Microsoft .NET Framework NGEN v2.0.50727 X86	Disabled	LocalSystem
Microsoft .NET Framework NGEN v2.0.50727 X64	Disabled	LocalSystem
Microsoft .NET Framework NGEN v4.0.30319 X86	Automatic	LocalSystem
Microsoft .NET Framework NGEN v4.0.30319 X64	Automatic	LocalSystem
COM+ System Application	Manual	LocalSystem
Intel(R) Content Protection HECI Service	Manual	LocalSystem
Cryptographic Services	Automatic	NT Authority\NetworkService
Offline Files	Automatic	LocalSystem
DCOM Server Process Launcher	Automatic	LocalSystem
Dell Command | Power Manager Notify	Manual	LocalSystem
Disk Defragmenter	Manual	localSystem
Dell.CommandPowerManager.Service	Manual	LocalSystem
DellRctlService	Automatic	LocalSystem
DHCP Client	Automatic	NT Authority\LocalService
Diagnostics Tracking Service	Automatic	LocalSystem
DNS Client	Automatic	NT AUTHORITY\NetworkService
Wired AutoConfig	Manual	localSystem
Diagnostic Policy Service	Automatic	NT AUTHORITY\LocalService
Extensible Authentication Protocol	Manual	localSystem
Encrypting File System (EFS)	Manual	LocalSystem
Windows Media Center Receiver Service	Manual	NT AUTHORITY\networkService
Windows Media Center Scheduler Service	Manual	NT AUTHORITY\networkService
ESET HTTP Server	Manual	NT AUTHORITY\NetworkService
ESET Service	Automatic	LocalSystem
ESET SHA Service	Manual	LocalSystem
ESIF Upper Framework Service	Automatic	LocalSystem
Windows Event Log	Automatic	NT AUTHORITY\LocalService
COM+ Event System	Automatic	NT AUTHORITY\LocalService
Intel(R) PROSet/Wireless Event Log	Automatic	LocalSystem
Fax	Manual	NT AUTHORITY\NetworkService
FortiClient Service Scheduler	Automatic	LocalSystem
Function Discovery Provider Host	Manual	NT AUTHORITY\LocalService
Function Discovery Resource Publication	Manual	NT AUTHORITY\LocalService
Windows Font Cache Service	Automatic	NT AUTHORITY\LocalService
Windows Presentation Foundation Font Cache 3.0.0.0	Manual	NT Authority\LocalService
Group Policy Client	Automatic	LocalSystem
Google Update Service (gupdate)	Automatic	LocalSystem
Google Update Service (gupdatem)	Manual	LocalSystem
Human Interface Device Access	Manual	LocalSystem
Health Key and Certificate Management	Manual	localSystem
HomeGroup Listener	Manual	LocalSystem
HomeGroup Provider	Manual	NT AUTHORITY\LocalService
Credential Vault Host Control Service	Automatic	LocalSystem
Credential Vault Host Storage	Automatic	LocalSystem
Intel(R) Rapid Storage Technology	Automatic	LocalSystem
Intel Bluetooth Service	Automatic	LocalSystem
Windows CardSpace	Manual	LocalSystem
Internet Explorer ETW Collector Service	Manual	LocalSystem
Intel(R) HD Graphics Control Panel Service	Automatic	LocalSystem
IKE and AuthIP IPsec Keying Modules	Manual	LocalSystem
Intel(R) Capability Licensing Service TCP IP Interface	Manual	LocalSystem
PnP-X IP Bus Enumerator	Manual	LocalSystem
IP Helper	Automatic	LocalSystem
Windows Phone IP over USB Transport (IpOverUsbSvc)	Automatic	LocalSystem
Intel(R) Dynamic Application Loader Host Interface Service	Automatic	LocalSystem
CNG Key Isolation	Manual	LocalSystem
KtmRm for Distributed Transaction Coordinator	Manual	NT AUTHORITY\NetworkService
Server	Automatic	LocalSystem
Workstation	Automatic	NT AUTHORITY\NetworkService
Link-Layer Topology Discovery Mapper	Manual	NT AUTHORITY\LocalService
TCP/IP NetBIOS Helper	Automatic	NT AUTHORITY\LocalService
Intel(R) Management and Security Application Local Management Service	Automatic	LocalSystem
Media Center Extender Service	Disabled	NT Authority\LocalService
Multimedia Class Scheduler	Automatic	LocalSystem
Mosquitto Broker	Automatic	LocalSystem
Mozilla Maintenance Service	Manual	LocalSystem
Windows Firewall	Automatic	NT Authority\LocalService
Distributed Transaction Coordinator	Manual	NT AUTHORITY\NetworkService
Microsoft iSCSI Initiator Service	Manual	LocalSystem
Windows Installer	Manual	LocalSystem
Wireless PAN DHCP Server	Manual	LocalSystem
Network Access Protection Agent	Manual	NT AUTHORITY\NetworkService
Netlogon	Automatic	LocalSystem
Network Connections	Manual	LocalSystem
Net.Msmq Listener Adapter	Disabled	NT AUTHORITY\NetworkService
Net.Pipe Listener Adapter	Disabled	NT AUTHORITY\LocalService
Network List Service	Manual	NT AUTHORITY\LocalService
Net.Tcp Listener Adapter	Disabled	NT AUTHORITY\LocalService
Net.Tcp Port Sharing Service	Disabled	NT AUTHORITY\LocalService
Network Location Awareness	Automatic	NT AUTHORITY\NetworkService
Network Store Interface Service	Automatic	NT Authority\LocalService
Office_Source Engine	Manual	LocalSystem
Office Software Protection Platform	Manual	NT AUTHORITY\NetworkService
Peer Networking Identity Manager	Manual	NT AUTHORITY\LocalService
Peer Networking Grouping	Manual	NT AUTHORITY\LocalService
Program Compatibility Assistant Service	Automatic	LocalSystem
BranchCache	Manual	NT AUTHORITY\NetworkService
Performance Counter DLL Host	Manual	NT AUTHORITY\LocalService
Performance Logs & Alerts	Manual	NT AUTHORITY\LocalService
Plug and Play	Automatic	LocalSystem
PNRP Machine Name Publication Service	Manual	NT AUTHORITY\LocalService
Peer Name Resolution Protocol	Manual	NT AUTHORITY\LocalService
IPsec Policy Agent	Manual	NT Authority\NetworkService
Power	Automatic	LocalSystem
User Profile Service	Automatic	LocalSystem
Protected Storage	Manual	LocalSystem
Quality Windows Audio Video Experience	Manual	NT AUTHORITY\LocalService
Remote Access Auto Connection Manager	Manual	localSystem
Remote Access Connection Manager	Manual	localSystem
Intel(R) PROSet/Wireless Registry Service	Automatic	LocalSystem
Routing and Remote Access	Disabled	localSystem
Remote Registry	Manual	NT AUTHORITY\LocalService
Remote Packet Capture Protocol v.0 (experimental)	Manual	LocalSystem
RPC Endpoint Mapper	Automatic	NT AUTHORITY\NetworkService
Remote Procedure Call (RPC) Locator	Manual	NT AUTHORITY\NetworkService
Remote Procedure Call (RPC)	Automatic	NT AUTHORITY\NetworkService
Realtek Audio Service	Automatic	LocalSystem
Security Accounts Manager	Automatic	LocalSystem
Smart Card	Automatic	NT AUTHORITY\LocalService
Task Scheduler	Automatic	LocalSystem
Smart Card Removal Policy	Manual	LocalSystem
Windows Backup	Manual	localSystem
Secondary Logon	Manual	LocalSystem
System Event Notification Service	Automatic	LocalSystem
Adaptive Brightness	Manual	NT AUTHORITY\LocalService
Remote Desktop Configuration	Manual	localSystem
Internet Connection Sharing (ICS)	Disabled	LocalSystem
Shell Hardware Detection	Automatic	LocalSystem
Skype Updater	Automatic	LocalSystem
SNMP Trap	Manual	NT AUTHORITY\LocalService
Print Spooler	Automatic	LocalSystem
Software Protection	Automatic	NT AUTHORITY\NetworkService
SPP Notification Service	Manual	NT AUTHORITY\LocalService
SSDP Discovery	Manual	NT AUTHORITY\LocalService
Secure Socket Tunneling Protocol Service	Manual	NT Authority\LocalService
Windows Image Acquisition (WIA)	Manual	NT Authority\LocalService
Storage Service	Manual	LocalSystem
svctcom	Automatic	LocalSystem
Microsoft Software Shadow Copy Provider	Manual	LocalSystem
Superfetch	Manual	LocalSystem
Tablet PC Input Service	Manual	LocalSystem
Telephony	Manual	NT AUTHORITY\NetworkService
Te.Service	Manual	LocalSystem
TeamViewer 10	Automatic	LocalSystem
Remote Desktop Services	Manual	NT Authority\NetworkService
Themes	Automatic	LocalSystem
Thread Ordering Server	Manual	NT AUTHORITY\LocalService
Distributed Link Tracking Client	Automatic	LocalSystem
Windows Modules Installer	Manual	localSystem
Interactive Services Detection	Manual	LocalSystem
Remote Desktop Services UserMode Port Redirector	Manual	localSystem
UPnP Device Host	Manual	NT AUTHORITY\LocalService
Credential Vault Upgrade Service	Automatic	LocalSystem
Desktop Window Manager Session Manager	Automatic	localSystem
Credential Manager	Manual	LocalSystem
Virtual Disk	Manual	LocalSystem
Volume Shadow Copy	Manual	LocalSystem
Visual Studio Standard Collector Service 150	Manual	LocalSystem
Windows Time	Manual	NT AUTHORITY\LocalService
Windows Activation Technologies Service	Manual	LocalSystem
Waves Audio Services	Automatic	LocalSystem
Block Level Backup Engine Service	Manual	localSystem
Windows Biometric Service	Automatic	LocalSystem
Windows Connect Now - Config Registrar	Manual	NT AUTHORITY\LocalService
Windows Color System	Manual	NT AUTHORITY\LocalService
Diagnostic Service Host	Manual	NT AUTHORITY\LocalService
Diagnostic System Host	Manual	LocalSystem
WebClient	Manual	NT AUTHORITY\LocalService
Windows Event Collector	Manual	NT AUTHORITY\NetworkService
Problem Reports and Solutions Control Panel Support	Manual	localSystem
Windows Error Reporting Service	Manual	localSystem
Windows Defender	Automatic	LocalSystem
WinHTTP Web Proxy Auto-Discovery Service	Manual	NT AUTHORITY\LocalService
Windows Management Instrumentation	Automatic	localSystem
Windows Remote Management (WS-Management)	Manual	NT AUTHORITY\NetworkService
WLAN AutoConfig	Automatic	LocalSystem
WMI Performance Adapter	Manual	localSystem
Windows Media Player Network Sharing Service	Manual	NT AUTHORITY\NetworkService
Parental Controls	Manual	NT Authority\LocalService
Portable Device Enumerator Service	Manual	LocalSystem
Security Center	Automatic	NT AUTHORITY\LocalService
Windows Search	Automatic	LocalSystem
Windows Update	Automatic	LocalSystem
Windows Driver Foundation - User-mode Driver Framework	Manual	LocalSystem
WWAN AutoConfig	Manual	NT Authority\LocalService
Intel(R) PROSet/Wireless Zero Configuration Service	Automatic	LocalSystem",no,,Security Policy
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",105335,Microsoft Windows Permission on Shares Enumerated,Ig,2,,,,,,,,Security permissions for shares on the target host are enumerated.,N/A,N/A,,,"share	SHARE TYPE	ACE TYPE	NAME	OWNER	ACE1	ACE2	ACE3
ADMIN$	Hidden_Directory	No_Explicit_DACLS	-	-	-	-	-
C$	Hidden_Directory	No_Explicit_DACLS	-	-	-	-	-
IPC$	Hidden_IPC	No_Explicit_DACLS	-	-	-	-	-",no,,Security Policy
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",125008,Recently Updated Windows Applications,Ig,2,,,,,,,,Recently updated Windows applications on the host are enumerated.,N/A,N/A,,,"Time : Fri Sep 22 03:39:15 2017
Source : MsiInstaller , Event:  11728 Descr: The Following Software Configuration Succeeded Param: Product: Office 16 Click-to-Run Extensibility Component 64-bit Registration -- Configuration completed successfully.
Time : Fri Sep 22 03:39:14 2017
Source : MsiInstaller , Event:  11728 Descr: The Following Software Configuration Succeeded Param: Product: Office 16 Click-to-Run Extensibility Component -- Configuration completed successfully.",no,,Forensics
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",6,DNS Host Name,Ig,1,,,,,,,,"The fully qualified domain name of this host, if it was obtained from a DNS server, is displayed in the RESULT section.",,,,,"IP address	Host name
10.0.0.182	oren-new.nayaxvend.int",no,,Information gathering
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",34011,Firewall Detected,Ig,1,,,,,,,,A packet filtering device protecting this IP was detected. This is likely to be a firewall or a router using access control lists (ACLs).,,,,,"Some of the ports filtered by the firewall are: 20, 21, 22, 23, 25, 53, 80, 111, 443, 1.

Listed below are the ports filtered by the firewall.
No response has been received when any of these ports are probed.
1-3,5,7,9,11,13,15,17-25,27,29,31,33,35,37-39,41-134,136-223,242-246,
256-265,280-282,309,311,318,322-325,344-351,363,369-444,446-581,587,592-593,
598,600,606-620,624,627,631,633-637,666-674,700,704-705,707,709-711,729-731,
740-742,744,747-754,758-765,767,769-777,780-783,786,799-801,860,873,886-888,
900-901,911,950,954-955,990-993,995-1001,1008,1010-1011,1015,1023-1100,
1109-1112,1114,1123,1155,1167,1170,1207,1212,1214,1220-1222,1234-1236,
1241,1243,1245,1248,1269,1313-1314,1337,1344-1625,1636-1705,1707-1774,
1776-1815,1818-1824,1900-1909,1911-1920,1944-1951,1973,1981,1985-1999,
2001-2028,2030,2032-2036,2038,2040-2049,2053,2065,2067,2080,2097, and more.
We have omitted from this list 706 higher ports to keep the report size manageable.",no,,Firewall
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",45027,Disabled Accounts Enumerated From SAM Database,Ig,1,,,,,,,,The Security Accounts Manager holds user and machine account information. The scanner found at least one disabled user or machine account in the SAM database for the target Windows machine. The accounts found are listed in the Results section.,,,,,"Disabled User/Machine Accounts:
Guest",no,,Information gathering
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",45032,Administrator Account's Real Name Found From LSA Enumeration,Ig,1,,,,,,,,"LSA (Local Security Authority Database) is a protected subsystem that authenticates and logs users onto the local system.
 
Windows systems by default have the administrator account's name configured as ""Administrator"". This can very easily be changed to a non-default value (like root, for example) to harden security against password bruteforcing.
 
LSA, internally, refers to user accounts by what are called RIDs (Relative IDs) instead of the friendlier names (like ""Administrator"") used only for GUI and display purposes. The administrator account on any Windows system always has a RID of 500, even if the name has been changed.
 
The scanner probed the LSA for the name that maps to the RID of 500, which is the administrator account name, changed or unchanged. The name is listed in the Result section below.",,,,,Administrator,no,,Information gathering
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",45038,Host Scan Time,Ig,1,,,,,,,,"The Host Scan Time is the period of time it takes the scanning engine to perform the vulnerability assessment of a single target host. The Host Scan Time for this host is reported in the Result section below. 
 
The Host Scan Time does not have a direct correlation to the Duration time as displayed in the Report Summary section of a scan results report. The Duration is the period of time it takes the service to perform a scan task. The Duration includes the time it takes the service to scan all hosts, which may involve parallel scanning. It also includes the time it takes for a scanner appliance to pick up the scan task and transfer the results back to the service's Secure Operating Center. Further, when a scan task is distributed across multiple scanners, the Duration includes the time it takes to perform parallel host scanning on all scanners.
 
For host running the Qualys Windows agent this QID reports the time taken by the agent to collect the host metadata used for the most recent assessment scan.",N/A,N/A,,,"Scan duration: 1085 seconds

Start time: Tue, Sep 26 2017, 09:50:39 GMT

End time: Tue, Sep 26 2017, 10:08:44 GMT",no,,Information gathering
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",45039,Host Names Found,Ig,1,,,,,,,,"The following host names were discovered for this computer using various methods such as DNS look up, NetBIOS query, and SQL server name query.",N/A,N/A,,,"Host Name	Source
OREN-NEW.nayaxvend.int	NTLM DNS
oren-new.nayaxvend.int	FQDN
OREN-NEW	NTLM NetBIOS",no,,Information gathering
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",45261,SMB Version 1 Enabled,Ig,1,,,,,,SMB v1,,The Windows host has SMBv1 protocol enabled.,SMB protocols could allow a remote attacker to obtain sensitive information from affected systems.,"Microsoft recommends users to update to latest SMB versions and stop using SMBv1.
Refer to Microsoft KB article KB2696547 (https://support.microsoft.com/en-us/help/2696547/how-to-enable-and-disable-smbv1,-smbv2,-and-smbv3-in-windows-vista,-windows-server-2008,-windows-7,-windows-server-2008-r2,-windows-8,-and-windows-server-2012) for more details.




Workaround: 
Customer may consider blocking all versions of SMB at the network boundary by blocking TCP port 445 with related protocols on UDP ports 137-138 and TCP port 139, for all boundary devices.",,,"QID: 45261 detected on port 445 over TCP.
SMBv1 is enabled.",no,,Information gathering
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",45262,SMB Version 2 or 3 Enabled,Ig,1,,,,,,,,The Windows host has SMBv2 or SMBv3 protocol enabled.,N/A,"For more information on how to enable/disable SMB, refer to Microsoft KB article KB2696547 (https://support.microsoft.com/en-us/help/2696547/how-to-enable-and-disable-smbv1-smbv2-and-smbv3-in-windows-and-windows).",,,"QID: 45262 detected on port 445 over TCP.
SMBv2 is enabled.",no,,Information gathering
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",70028,Windows Authentication Method,Ig,1,,,,,,,,"Windows authentication was performed. The Results section in your detailed results includes a list of authentication credentials used.
 
The service also attempts to authenticate using common credentials. You should verify that the credentials used for successful authentication were those that were provided in the Windows authentication record. User-provided credentials failed if the discovery method shows ""Unable to log in using credentials provided by user, fallback to NULL session"". If this is the case, verify that the credentials specified in the Windows authentication record are valid for this host.",N/A,N/A,,,"User Name	qualysuser
Domain	nayaxvend.int
Authentication Scheme	Kerberos
Security	User-based
SMBv1 Signing	Disabled
Discovery Method	Login credentials provided by user
CIFS Signing	default
Authentication Record	NAYAXVEND\qualysuser
CIFS Version	SMB v2.1",no,,SMB / NETBIOS
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",70053,Windows Authentication Method for User-Provided Credentials,Ig,1,,,,,,,,Windows authentication was performed and successful with user-provided credentials. The Results section in your detailed results includes a list of authentication credentials used.,N/A,N/A,,,"User Name	qualysuser
Domain	nayaxvend.int
Authentication Scheme	Kerberos
Security	User-based
SMBv1 Signing	Disabled
Authentication Record	NAYAXVEND\qualysuser",no,,SMB / NETBIOS
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",82023,Open TCP Services List,Ig,1,,,,,,,,"The port scanner enables unauthorized users with the appropriate tools to draw a map of all services on this host that can be accessed from the Internet.  The test was carried out with a ""stealth"" port scanner so that the server does not log real connections.
 
The Results section displays the port number (Port), the default service listening on the port (IANA Assigned Ports/Services), the description of the service (Description) and the service that the scanner detected using service discovery (Service Detected).",Unauthorized users can exploit this information to test vulnerabilities in each of the open services.,"Shut down any unknown or unused service on the list.  If you have difficulty figuring out which service is provided by which process or program, contact your provider's support team.  For more information about commercial and open-source Intrusion Detection Systems available for detecting port scanners of this kind, visit the CERT Web site (http://www.cert.org).",,,"Port	IANA Assigned Ports/Services	Description	Service Detected	OS On Redirected Port
135	msrpc-epmap	epmap DCE endpoint resolution	DCERPC Endpoint Mapper 	 
445	microsoft-ds	Microsoft-DS	microsoft-ds 	 
3389	ms-wbt-server	MS WBT Server	win remote desktop over ssl",no,,TCP/IP
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",82040,ICMP Replies Received,Ig,1,,,,,,,,"ICMP (Internet Control and Error Message Protocol) is a protocol encapsulated in IP packets. ICMP's principal purpose is to provide a protocol layer that informs gateways of the inter-connectivity and accessibility of other gateways or hosts. 
 
We have sent the following types of packets to trigger the host to send us ICMP replies: 
 
Echo Request (to trigger Echo Reply) 
Timestamp Request (to trigger Timestamp Reply) 
Address Mask Request (to trigger Address Mask Reply) 
UDP Packet (to trigger Port Unreachable Reply) 
IP Packet with Protocol >= 250 (to trigger Protocol Unreachable Reply)
 
Listed in the ""Result"" section are the ICMP replies that we have received.",,,,,"ICMP Reply Type	Triggered By	Additional Information
Echo (type=0 code=0)	Echo Request	Echo Reply",no,,TCP/IP
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",82044,NetBIOS Host Name,Ig,1,,,,,,,,The NetBIOS host name of this computer has been detected.,N/A,N/A,,,OREN-NEW,no,,TCP/IP
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",82045,Degree of Randomness of TCP Initial Sequence Numbers,Ig,1,,,,,,,,TCP Initial Sequence Numbers (ISNs) obtained in the SYNACK replies from the host are analyzed to determine how random they are. The average change between subsequent ISNs and the standard deviation from the average are displayed in the RESULT section. Also included is the degree of difficulty for exploitation of the TCP ISN generation scheme used by the host.,N/A,N/A,,,Average change between subsequent TCP initial sequence numbers is 1198698350 with a standard deviation of 1191129251. These TCP initial sequence numbers were triggered by TCP SYN probes sent to the host at an average rate of 1/(14885 microseconds). The degree of difficulty to exploit the TCP initial sequence number generation scheme is: hard.,no,,TCP/IP
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",82046,IP ID Values Randomness,Ig,1,,,,,,,,"The values for the identification (ID) field in IP headers in IP packets from the host are analyzed to determine how random they are. The changes between subsequent ID values for either the network byte ordering or the host byte ordering, whichever is smaller, are displayed in the RESULT section along with the duration taken to send the probes. When incremental values are used, as is the case for TCP/IP implementation in many operating systems, these changes reflect the network load of the host at the time this test was conducted.
 
Please note that for reliability reasons only the network traffic from open TCP ports is analyzed.",N/A,N/A,,,"IP ID changes observed (network order) for port 135: 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
Duration: 11 milli seconds",no,,TCP/IP
