Synopsis,CVE,Risk,Host,Solution,Plugin Output
The BIOS version could be read.,0,None,10.10.10.123,n/a,"
  Vendor       : Phoenix Technologies LTD
  Version      : 6.00
  Release date : 20150921000000.000000+000
  UUID         : 60442F42-019D-2915-661C-B090743C6591
"
There is at least one user in the 'Account Operators' group.,0,None,10.10.10.123,Verify that each member of the group should have this type of access.,"
The following user is a member of the 'Account Operators' group :

  - NAYAXVEND\admgmt (User)
"
The remote Windows host is utilizing a WSUS server.,0,None,10.10.10.123,"Verify the remote host is configured to utilize the correct WSUS
server.","
This host is configured to get updates from the following WSUS server :

  http://qailwsus:8530

WSUS Environment Options :

  ElevateNonAdmins : undefined
  TargetGroup : QA_Test_Servers
  TargetGroupEnabled : 1

Update status :

  Updates last detected : 2017-09-26 17:44:13
  Updates last downloaded : 2017-09-26 17:44:15
  Updates last installed : 2017-09-27 05:25:25

Automatic Update settings :

  AUOptions : 4
  AutoInstallMinorUpdates : undefined
  DetectionFrequency : undefined
  DetectionFrequencyEnabled : undefined
  NoAutoRebootWithLoggedOnUsers : undefined
  NoAutoUpdate : 0
  RebootRelaunchTimeout : undefined
  RebootRelaunchTimeoutEnabled : undefined
  RebootWarningTimeout : undefined
  RebootWarningTimeoutEnabled : undefined
  RescheduleWaitTime : undefined
  RescheduleWaitTimeEnabled : undefined
  ScheduledInstallDay : 0
  ScheduledInstallTime : 1
"
This plugin displays the SSL certificate.,0,None,10.10.10.123,n/a,"Subject Name: 

Common Name: QAILDC01.nayaxvend.int

Issuer Name: 

Common Name: QAILDC01.nayaxvend.int

Serial Number: 61 6B 35 AE 97 B4 8C A7 4F F3 0C 2B 90 6D 2C 0E 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Sep 23 04:14:40 2017 GMT
Not Valid After: Mar 25 04:14:40 2018 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 AA 36 A9 19 52 9E FB 74 AB 18 52 C5 9B 3A 9A 77 37 6F 05 
            F9 7B 7F 6F 0A B9 D9 BC 18 7B A1 F4 8E 2F FF 95 54 AD 89 22 
            72 B5 AB 8A 93 5D 01 68 2F 30 BB A3 97 F6 32 FC 6F 61 AE 7F 
            19 52 88 78 36 C2 F1 2C 65 E5 68 1E 36 FF E0 08 88 78 37 8B 
            1B EF 64 1F 51 A3 04 A7 92 A1 A4 4A F4 C0 67 16 1E 28 F1 39 
            90 9D D9 AD 0B 44 E0 79 FA DE FB AE E6 BB D1 87 8C 9F 37 D7 
            57 C8 34 C2 AF A7 E0 1B 1E 52 FA 0D EF 61 06 93 DD 12 05 6F 
            1F 34 86 2F 08 45 D8 97 EC 52 96 39 CC 85 A2 C0 C0 C2 E0 96 
            CB 15 1E 75 3E BD F2 5D E5 2A 1D DE CF 0E D4 BD 69 01 38 9B 
            85 7D 94 F3 94 53 71 68 25 4E B6 E1 6D BE 0C 3F 9F E9 7E EE 
            0D B1 A2 98 E9 AA 45 B0 69 6C 0D 4E 4C 9F 36 A9 D7 75 FC AD 
            1F 91 22 6D A7 5B C9 57 3A 37 AB DE D0 58 03 0C 17 5B 12 F5 
            56 24 D6 B2 C1 18 40 3C 00 1F 50 A9 34 9D F6 56 CD 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 36 A0 41 08 E1 42 E6 13 4E 85 C5 3F 88 27 CF 7F 78 B7 97 
           C0 BC 93 C3 DF BF 18 36 2B 81 5A AF 8F A1 57 FC ED 85 76 31 
           EC 6B C7 E5 36 EE 61 7C 1A C1 E3 33 BA 86 83 3F 10 E9 F5 F9 
           42 66 D1 D7 38 0F 89 CF 47 5F 7A 21 12 75 E9 BC 29 E6 14 02 
           B1 75 A4 0B 63 B9 0B A9 BB C2 9E 92 B6 AB FC 77 D1 05 69 DE 
           2E 7F 02 AF 34 3F 06 FE 66 F3 4A 9C 6E 95 A4 C7 C0 67 0E FF 
           B3 77 AD 93 70 E6 01 C1 32 D3 BC 9E 11 27 08 C9 D0 4D 5E 6C 
           E4 EB 7A 10 5D 4D D0 D8 30 7F DA CC 1E 9B 91 A2 84 A8 9A 9C 
           62 83 7D 26 DF FA 95 C7 1B D4 02 D4 31 D6 2B EB D0 1A 7B 28 
           95 6F 22 12 B7 05 56 14 67 5F 43 31 06 81 DC 3B 82 A2 2F 9E 
           B6 B7 BF FB E0 30 27 5C C3 F8 E1 36 75 B1 A6 22 3F 6C 23 33 
           34 12 87 7F 3E 9B 14 7C A7 B2 1F 07 E2 B1 8C C9 68 70 78 C4 
           A8 27 77 AD 2D 61 09 59 4B D6 67 2C 79 96 8D 3E 18 

Extension: Extended Key Usage (2.5.29.37)
Critical: 0
Purpose#1: Web Server Authentication (1.3.6.1.5.5.7.3.1)


Extension: Key Usage (2.5.29.15)
Critical: 0
Key Usage: Key Encipherment, Data Encipherment


Fingerprints : 

SHA-256 Fingerprint: E7 45 77 3A 9C FA A3 75 73 E7 18 19 CD 24 7C BC 28 50 61 8A 
                     9B 3F 0E A6 B2 44 B3 75 BF D1 D4 19 
SHA-1 Fingerprint: 9F 05 00 24 F6 AE 32 B0 71 57 02 0B D0 CD D0 EA EF 6D EF 65 
MD5 Fingerprint: 1B DE 4E 9D E3 BE C0 D0 F3 C3 DA 92 AD EC C1 C5 

"
The system has been started.,0,None,10.10.10.123,n/a,"
  20170927054232.494145+000"
The remote system is a Domain Controller.,0,None,10.10.10.123,n/a,0
There is at least one user in the 'Administrators' group.,0,None,10.10.10.123,Verify that each member of the group should have this type of access.,"
The following users are members of the 'Administrators' group :

  - NAYAXVEND\Domain Admins (Group)
  - NAYAXVEND\Enterprise Admins (Group)
  - NAYAXVEND\Administrator (User)
  - NAYAXVEND\admtuser (User)
  - NAYAXVEND\itservices (User)
"
There is at least one user in the 'Domain Administrators' group.,0,None,10.10.10.123,Verify that each member of the group should have this type of access.,"
The following users are members of the 'Domain Administrators' group :

  - Administrator
  - shlomix
  - itservices
  - gal
  - ofer
  - commvault
  - guyr
  - gal-admin
  - tom-admin
  - gilfalko-admin
  - nitzan
  - ofer-admin
  - qualysuser
"
"The remote service supports the use of SSL Perfect Forward Secrecy
ciphers, which maintain confidentiality even if the key is stolen.",0,None,10.10.10.123,n/a,"
Here is the list of SSL PFS ciphers supported by the remote server :

  High Strength Ciphers (>= 112-bit key)

    DHE-RSA-AES128-SHA           Kx=DH          Au=RSA      Enc=AES-CBC(128)         Mac=SHA1   
    DHE-RSA-AES256-SHA           Kx=DH          Au=RSA      Enc=AES-CBC(256)         Mac=SHA1   
    ECDHE-RSA-AES128-SHA         Kx=ECDH        Au=RSA      Enc=AES-CBC(128)         Mac=SHA1   
    ECDHE-RSA-AES256-SHA         Kx=ECDH        Au=RSA      Enc=AES-CBC(256)         Mac=SHA1   

The fields above are :

  {OpenSSL ciphername}
  Kx={key exchange}
  Au={authentication}
  Enc={symmetric encryption method}
  Mac={message authentication code}
  {export flag}
"
"The remote service supports the use of SSL Cipher Block Chaining
ciphers, which combine previous blocks with subsequent ones.",0,None,10.10.10.123,n/a,"
Here is the list of SSL CBC ciphers supported by the remote server :

  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    DES-CBC3-SHA                 Kx=RSA         Au=RSA      Enc=3DES-CBC(168)        Mac=SHA1   

  High Strength Ciphers (>= 112-bit key)

    DHE-RSA-AES128-SHA           Kx=DH          Au=RSA      Enc=AES-CBC(128)         Mac=SHA1   
    DHE-RSA-AES256-SHA           Kx=DH          Au=RSA      Enc=AES-CBC(256)         Mac=SHA1   
    ECDHE-RSA-AES128-SHA         Kx=ECDH        Au=RSA      Enc=AES-CBC(128)         Mac=SHA1   
    ECDHE-RSA-AES256-SHA         Kx=ECDH        Au=RSA      Enc=AES-CBC(256)         Mac=SHA1   
    AES128-SHA                   Kx=RSA         Au=RSA      Enc=AES-CBC(128)         Mac=SHA1   
    AES256-SHA                   Kx=RSA         Au=RSA      Enc=AES-CBC(256)         Mac=SHA1   

The fields above are :

  {OpenSSL ciphername}
  Kx={key exchange}
  Au={authentication}
  Enc={symmetric encryption method}
  Mac={message authentication code}
  {export flag}
"
There is at least one user in the 'Server Operators' group.,0,None,10.10.10.123,Verify that each member of the group should have this type of access.,"
The following users are members of the 'Server Operators' group :

  - NAYAXVEND\cachecluster (User)
  - NAYAXVEND\fgbackup (User)
"
The remote service implements TCP timestamps.,0,None,10.10.10.123,n/a,0
The remote Windows host supports the SMBv1 protocol.,0,None,10.10.10.123,"Disable SMBv1 according to the vendor instructions in Microsoft
KB2696547. Additionally, block SMB directly by blocking TCP port 445
on all network boundary devices. For SMB over the NetBIOS API, block
TCP ports 137 / 139 and UDP ports 137 / 138 on all network boundary
devices.","
The remote host supports SMBv1.
"
The remote service encrypts communications.,0,None,10.10.10.123,n/a,"
This port supports TLSv1.0/TLSv1.1/TLSv1.2.
"
The remote service could be identified.,0,None,10.10.10.123,n/a,An http-rpc-epmap is running on this port.
The remote host supports IE Enhanced Security Configuration.,0,None,10.10.10.123,n/a,"
  Type       : Admin Groups
  Is Enabled : False

  Type       : User Groups
  Is Enabled : False
"
The remote host is missing several patches.,0,None,10.10.10.123,Install the patches listed below.,". Microsoft Operating System Patches :
+ To patch the remote system, you need to install the following Microsoft patches :
- KB3125869
"
The remote host is missing several Microsoft security patches.,0,None,10.10.10.123,"Run Windows Update on the remote host or use a patch management
solution.","The patches for the following bulletins or KBs are missing on the remote host :

 - MS15-124 ( http://technet.microsoft.com/en-us/security/bulletin/ms15-124 )
"
Nessus was able to enumerate domain users.,CVE-2000-1200,None,10.10.10.123,n/a,"
  - Administrator (id 500, Administrator account)
  - krbtgt (id 502, Kerberos account)
  - Guest (id 501, Guest account)
  - SqlAgentUser (id 1110)
  - SqlService (id 1112)
  - dcs_app (id 1116)
  - admtuser (id 1121)

Note that, in addition to the Administrator, Guest, and Kerberos
accounts, Nessus has enumerated only those domain users with IDs
between 1000 and 1200. To use a different range, edit the scan policy
and change the 'Start UID' and/or 'End UID' preferences for this
plugin, then re-run the scan.
"
The remote host has quick-fix engineering updates installed.,0,None,10.10.10.123,n/a,"
Here is a list of quick-fix engineering updates installed on the
remote system :

KB2894856, Installed on: 2016/10/02
KB2919355, Installed on: 2014/03/18
KB2919442, Installed on: 2014/03/18
KB2932046, Installed on: 2014/03/18
KB2934018
KB2934520, Installed on: 2016/10/02
KB2937592, Installed on: 2014/03/18
KB2938066, Installed on: 2016/10/02
KB2938439, Installed on: 2014/03/18
KB2938772, Installed on: 2014/03/18
KB2949621, Installed on: 2014/03/18
KB2954879, Installed on: 2016/10/02
KB2967917, Installed on: 2016/10/02
KB2973351, Installed on: 2016/10/02
KB2977765, Installed on: 2016/10/02
KB2978041, Installed on: 2016/10/02
KB2978126, Installed on: 2016/10/02
KB2987107
KB2989930, Installed on: 2016/10/02
KB3000483, Installed on: 2016/10/02
KB3000850, Installed on: 2016/10/02
KB3003057, Installed on: 2016/10/02
KB3004361, Installed on: 2016/10/02
KB3004365, Installed on: 2016/10/02
KB3004545, Installed on: 2016/10/02
KB3008923
KB3012702, Installed on: 2016/10/02
KB3013172, Installed on: 2016/10/02
KB3013769, Installed on: 2016/10/02
KB3013791, Installed on: 2016/10/02
KB3013816, Installed on: 2016/10/02
KB3014442, Installed on: 2016/10/02
KB3019978, Installed on: 2016/10/02
KB3021952, Installed on: 2017/01/31
KB3022777, Installed on: 2016/10/02
KB3023222, Installed on: 2016/10/02
KB3023266, Installed on: 2016/10/02
KB3024751, Installed on: 2016/10/02
KB3024755, Installed on: 2016/10/02
KB3029603, Installed on: 2016/10/02
KB3030377, Installed on: 2016/10/02
KB3030947, Installed on: 2016/10/02
KB3032663, Installed on: 2016/10/02
KB3033446, Installed on: 2016/10/02
KB3035126, Installed on: 2016/10/02
KB3036612, Installed on: 2016/10/02
KB3037579, Installed on: 2016/10/02
KB3037924, Installed on: 2016/10/02
KB3038002, Installed on: 2016/10/02
KB3041857, Installed on: 2016/10/02
KB3042085, Installed on: 2016/10/02
KB3044374, Installed on: 2016/10/02
KB3044673, Installed on: 2016/10/02
KB3045634, Installed on: 2016/10/02
KB3045685, Installed on: 2016/10/02
KB3045717, Installed on: 2016/10/02
KB3045719, Installed on: 2016/10/02
KB3045755, Installed on: 2016/10/02
KB3045992, Installed on: 2016/10/02
KB3045999, Installed on: 2016/10/02
KB3046017, Installed on: 2016/10/02
KB3046737, Installed on: 2016/10/02
KB3048043, Installed on: 2016/10/02
KB3054169, Installed on: 2016/10/02
KB3054203, Installed on: 2016/10/02
KB3054256
KB3054464, Installed on: 2016/10/02
KB3055323, Installed on: 2016/10/02
KB3055343, Installed on: 2016/10/02
KB3055642, Installed on: 2016/10/02
KB3059316, Installed on: 2016/10/02
KB3059317, Installed on: 2016/10/02
KB3060681, Installed on: 2016/10/02
KB3060793, Installed on: 2016/10/02
KB3061512, Installed on: 2016/10/02
KB3063843, Installed on: 2016/10/02
KB3071756, Installed on: 2016/10/02
KB3074228, Installed on: 2016/10/02
KB3074548, Installed on: 2016/10/02
KB3075220, Installed on: 2016/10/02
KB3077715, Installed on: 2016/10/02
KB3078405, Installed on: 2016/10/02
KB3078676, Installed on: 2016/10/02
KB3080042, Installed on: 2016/10/02
KB3080149, Installed on: 2016/10/02
KB3082089, Installed on: 2016/10/02
KB3083992, Installed on: 2016/10/02
KB3084135, Installed on: 2016/10/02
KB3084905, Installed on: 2016/10/02
KB3086255, Installed on: 2016/10/02
KB3087041, Installed on: 2016/10/02
KB3087137, Installed on: 2016/10/02
KB3091297, Installed on: 2016/10/02
KB3092601, Installed on: 2016/10/02
KB3092627, Installed on: 2016/10/02
KB3094486, Installed on: 2016/10/02
KB3095701, Installed on: 2016/10/02
KB3096433, Installed on: 2016/10/02
KB3097997, Installed on: 2016/10/02
KB3098779, Installed on: 2016/10/02
KB3099834, Installed on: 2016/10/02
KB3100473, Installed on: 2016/10/02
KB3102429, Installed on: 2016/10/02
KB3102467, Installed on: 2016/10/02
KB3103616, Installed on: 2016/10/02
KB3103696, Installed on: 2016/10/02
KB3103709, Installed on: 2016/10/02
KB3109103, Installed on: 2016/10/02
KB3109976, Installed on: 2016/10/02
KB3110329
KB3115224, Installed on: 2016/10/02
KB3118401, Installed on: 2016/10/02
KB3121255, Installed on: 2016/10/02
KB3121261, Installed on: 2016/10/02
KB3121461, Installed on: 2016/10/09
KB3121918, Installed on: 2016/10/02
KB3123242, Installed on: 2016/10/02
KB3123245, Installed on: 2016/10/02
KB3125424, Installed on: 2016/10/02
KB3126033, Installed on: 2016/10/02
KB3126434, Installed on: 2016/10/02
KB3126587, Installed on: 2016/10/02
KB3126593, Installed on: 2016/10/02
KB3128650, Installed on: 2016/10/02
KB3133043, Installed on: 2016/10/02
KB3133681, Installed on: 2016/10/02
KB3133690, Installed on: 2016/10/02
KB3133924, Installed on: 2016/10/02
KB3134179, Installed on: 2016/10/02
KB3134813, Installed on: 2017/04/10
KB3134815, Installed on: 2016/10/02
KB3137061, Installed on: 2016/10/02
KB3137728, Installed on: 2016/10/02
KB3138602, Installed on: 2016/10/02
KB3138615, Installed on: 2016/10/02
KB3139164, Installed on: 2016/10/02
KB3139398, Installed on: 2016/10/02
KB3139914, Installed on: 2016/10/02
KB3140219, Installed on: 2016/10/02
KB3140234, Installed on: 2016/10/02
KB3145384, Installed on: 2016/10/02
KB3145432, Installed on: 2016/10/02
KB3146601, Installed on: 2016/10/02
KB3146604, Installed on: 2016/10/02
KB3146723, Installed on: 2016/10/02
KB3146751, Installed on: 2016/10/02
KB3147071, Installed on: 2016/10/02
KB3153704, Installed on: 2016/10/02
KB3155784, Installed on: 2016/10/02
KB3156019, Installed on: 2016/10/02
KB3156059, Installed on: 2016/10/02
KB3159398, Installed on: 2016/10/02
KB3161949, Installed on: 2016/10/02
KB3161958, Installed on: 2016/10/02
KB3162343, Installed on: 2016/10/02
KB3162835, Installed on: 2016/10/02
KB3164294, Installed on: 2016/10/02
KB3169704, Installed on: 2016/10/02
KB3170455, Installed on: 2016/10/02
KB3172614, Installed on: 2016/10/09
KB3172729, Installed on: 2016/10/09
KB3173424, Installed on: 2016/10/02
KB3174644, Installed on: 2016/10/02
KB3175024, Installed on: 2016/10/02
KB3178539, Installed on: 2016/10/02
KB3179574, Installed on: 2016/10/02
KB3179948, Installed on: 2016/10/09
KB3184122, Installed on: 2016/10/02
KB3185319, Installed on: 2016/10/02
KB3185331
KB3197874
KB3205401
KB3210135, Installed on: 2017/04/10
KB4012219, Installed on: 2017/04/10
KB4012864, Installed on: 2017/08/30
KB4014510, Installed on: 2017/08/21
KB4014556, Installed on: 2017/08/21
KB4014590, Installed on: 2017/08/21
KB4015193, Installed on: 2017/08/30
KB4015547, Installed on: 2017/08/21
KB4015550
KB4019213, Installed on: 2017/08/21
KB4019215
KB4020322, Installed on: 2017/08/21
KB4022717, Installed on: 2017/08/21
KB4022726
KB4025333, Installed on: 2017/08/21
KB4025336
KB4033428, Installed on: 2017/08/21
KB4033989, Installed on: 2017/08/21
KB4034663, Installed on: 2017/08/21
KB4034672, Installed on: 2017/08/21
KB4034681, Installed on: 2017/08/21
KB4034733, Installed on: 2017/08/21
KB4036586, Installed on: 2017/09/27
KB4038774, Installed on: 2017/09/27
KB4038792, Installed on: 2017/09/13
KB4038793, Installed on: 2017/09/27
KB4040956, Installed on: 2017/09/27
KB4040972, Installed on: 2017/09/27
"
This plugin displays information about the Nessus scan.,0,None,10.10.10.123,n/a,"Information about this scan : 

Nessus version : 6.10.9
Plugin feed version : 201709252115
Scanner edition used : Nessus
Scan type : Normal
Scan policy used : Advanced Scan
Scanner IP : 10.12.11.73
Port scanner(s) : wmi_netstat 
Port range : default
Thorough tests : no
Experimental tests : no
Paranoia level : 1
Report verbosity : 1
Safe checks : yes
Optimize the test : yes
Credentialed checks : yes, as 'nayaxvend.int\itservices' via SMB
Patch management checks : None
CGI scanning : disabled
Web application tests : disabled
Max hosts : 100
Max checks : 5
Recv timeout : 5
Backports : None
Allow post-scan editing: Yes
Scan Start Date : 2017/9/27 4:56 EDT
Scan duration : 462 sec
"
The remote host allows resuming SSL sessions.,0,None,10.10.10.123,n/a,"
This port supports resuming TLSv1 sessions.
"
The remote service encrypts communications using SSL.,0,None,10.10.10.123,n/a,"
Here is the list of SSL ciphers supported by the remote server :
Each group is reported per SSL Version.

SSL Version : TLSv11
  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    DES-CBC3-SHA                 Kx=RSA         Au=RSA      Enc=3DES-CBC(168)        Mac=SHA1   

  High Strength Ciphers (>= 112-bit key)

    DHE-RSA-AES128-SHA           Kx=DH          Au=RSA      Enc=AES-CBC(128)         Mac=SHA1   
    DHE-RSA-AES256-SHA           Kx=DH          Au=RSA      Enc=AES-CBC(256)         Mac=SHA1   
    ECDHE-RSA-AES128-SHA         Kx=ECDH        Au=RSA      Enc=AES-CBC(128)         Mac=SHA1   
    ECDHE-RSA-AES256-SHA         Kx=ECDH        Au=RSA      Enc=AES-CBC(256)         Mac=SHA1   
    AES128-SHA                   Kx=RSA         Au=RSA      Enc=AES-CBC(128)         Mac=SHA1   
    AES256-SHA                   Kx=RSA         Au=RSA      Enc=AES-CBC(256)         Mac=SHA1   
    RC4-MD5                      Kx=RSA         Au=RSA      Enc=RC4(128)             Mac=MD5    
    RC4-SHA                      Kx=RSA         Au=RSA      Enc=RC4(128)             Mac=SHA1   


SSL Version : TLSv1
  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    DES-CBC3-SHA                 Kx=RSA         Au=RSA      Enc=3DES-CBC(168)        Mac=SHA1   

  High Strength Ciphers (>= 112-bit key)

    DHE-RSA-AES128-SHA           Kx=DH          Au=RSA      Enc=AES-CBC(128)         Mac=SHA1   
    DHE-RSA-AES256-SHA           Kx=DH          Au=RSA      Enc=AES-CBC(256)         Mac=SHA1   
    ECDHE-RSA-AES128-SHA         Kx=ECDH        Au=RSA      Enc=AES-CBC(128)         Mac=SHA1   
    ECDHE-RSA-AES256-SHA         Kx=ECDH        Au=RSA      Enc=AES-CBC(256)         Mac=SHA1   
    AES128-SHA                   Kx=RSA         Au=RSA      Enc=AES-CBC(128)         Mac=SHA1   
    AES256-SHA                   Kx=RSA         Au=RSA      Enc=AES-CBC(256)         Mac=SHA1   
    RC4-MD5                      Kx=RSA         Au=RSA      Enc=RC4(128)             Mac=MD5    
    RC4-SHA                      Kx=RSA         Au=RSA      Enc=RC4(128)             Mac=SHA1   

The fields above are :

  {OpenSSL ciphername}
  Kx={key exchange}
  Au={authentication}
  Enc={symmetric encryption method}
  Mac={message authentication code}
  {export flag}
"
A COM+ Internet Services (CIS) server is listening on this port.,0,None,10.10.10.123,"If you do not use this service, disable it with DCOMCNFG. 

Otherwise, limit access to this port.","
Server banner :

ncacn_http/1.0"
